,name,distance,moving_time,total_elevation_gain,sport_type,id,start_date_local,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_heartrate,max_heartrate,elev_high,elev_low,average_watts,kilojoules,device_watts,max_watts,weighted_average_watts,minutes_moving,hour_activity,day_of_week,week_of_year,month,year
0,Guada-Centenera ,14.11,3920,0.0,Run,8740816801,19-03-2023,"[40.639151092618704, -3.164204154163599]","[40.65306035801768, -3.054312039166689]",12.96,30.05,81.0,41.0,159.1,175.0,7437.2,608.2,,,,,,65.33,11,Sunday,11,3,2023
1,Natación de noche,2.6,2915,0.0,Swim,8740803080,18-03-2023,[],[],3.21,7.86,22.0,,,,0.0,,,,,,,48.58,18,Saturday,11,3,2023
2,Aeródromo BT,81.17,10324,708.0,Ride,8734240945,18-03-2023,"[40.63396034762263, -3.1738986633718014]","[40.634436355903745, -3.17688656039536]",28.31,81.04,,11.0,,,962.4,635.0,146.8,1515.1,False,,,172.07,8,Saturday,11,3,2023
3,Técnica con Alice 3,2.5,3600,0.0,Swim,8748608202,16-03-2023,[],[],2.5,0.0,,,,,0.0,,,,,,,60.0,19,Thursday,11,3,2023
4,"20*20""-40""",12.56,3785,0.0,Run,8720411222,15-03-2023,"[40.642736703157425, -3.161378698423505]","[40.63860895112157, -3.1632145028561354]",11.95,22.52,80.6,41.0,151.9,183.0,6892.8,6892.8,,,,,,63.08,19,Wednesday,11,3,2023
5,10x100 medio 10x100 pal suave,3.0,3600,0.0,Swim,8748612108,14-03-2023,[],[],3.0,0.0,,,,,0.0,,,,,,,60.0,19,Tuesday,11,3,2023
6,Rodaje con Rulo carrera cole Rece,14.28,3971,0.0,Run,8700650727,12-03-2023,"[40.63786447048187, -3.1627668254077435]","[40.63819865696132, -3.1628763768821955]",12.94,37.08,81.3,41.0,161.9,180.0,8733.4,689.2,,,,,,66.18,9,Sunday,10,3,2023
7,1000 remadas 25s y primeros 50s,3.0,3600,0.0,Swim,8698125230,11-03-2023,[],[],3.0,0.0,,,,,0.0,,,,,,,60.0,18,Saturday,10,3,2023
8,Rodaje mañanero tranquilo,13.0,3653,117.8,Run,8694421417,11-03-2023,"[40.641063675284386, -3.1520849280059338]","[40.63831843435764, -3.162717539817095]",12.81,44.76,81.6,41.0,159.8,178.0,761.0,699.3,,,,,,60.88,8,Saturday,10,3,2023
9,5x200 pasado de rosca,9.43,2907,58.1,Run,8694421360,10-03-2023,"[40.62749991193414, -3.151771780103445]","[40.6265021301806, -3.152005970478058]",11.67,24.33,79.6,41.0,143.7,183.0,737.3,720.4,,,,,,48.45,18,Friday,10,3,2023
10,Técnica con Alice 2 ,1.6,3600,0.0,Swim,8698112554,09-03-2023,[],[],1.6,0.0,,,,,0.0,,,,,,,60.0,19,Thursday,10,3,2023
11,Suave soltando trail Iriepal ,5.55,1754,62.3,Run,8671546266,06-03-2023,"[40.638825790956616, -3.162943599745631]","[40.638592690229416, -3.162972182035446]",11.39,34.98,79.5,41.0,137.8,150.0,735.4,692.8,,,,,,29.23,20,Monday,10,3,2023
